type,name,cached_count
Character,Clint Barton,96998
Character,Stiles Stilinski,96171
Fandom,Star Wars - All Media Types,96000
Fandom,Captain America (Movies),95654
Freeform,Other Additional Tags to Be Added,95422
Character,Original Male Character(s),95292
Character,Min Yoongi | Suga,94580
Character,John Watson,93962
Freeform,Anal Fingering,92656
Character,Kim Taehyung | V,91432
Character,Castiel,91140
Freeform,Getting Together,89293
Relationship,Sherlock Holmes/John Watson,87435
Character,Hermione Granger,87327
Freeform,PWP,87148
Character,Draco Malfoy,87106
Freeform,Explicit Sexual Content,86880
Freeform,Canon-Typical Violence,82898
Freeform,Violence,81487
Freeform,Completed,81411
Freeform,Time Travel,80557
Freeform,Masturbation,79320
Freeform,Dirty Talk,77863
Freeform,Love Confessions,77625
Relationship,"James ""Bucky"" Barnes/Steve Rogers",77276
Character,Derek Hale,76524
Character,Peter Parker,76214
Character,Kim Seokjin | Jin,75790
Freeform,Sex,75411
Freeform,Mpreg,75324
Character,Jung Hoseok | J-Hope,74936
Relationship,Draco Malfoy/Harry Potter,74244
Freeform,Rough Sex,74021
Freeform,Fluff and Humor,73109
Freeform,Less than 1K,71038
Freeform,Character Study,70827
Freeform,Character Death,68832
Fandom,One Direction (Band),68098
Freeform,Sweet,67870
Fandom,Homestuck,67200
Freeform,Depression,66644
Fandom,The Avengers (Marvel) - All Media Types,66345
Freeform,Wordcount: 1.000-5.000,65375
Relationship,Steve Rogers/Tony Stark,64923
Freeform,Falling In Love,64885
Character,Thor (Marvel),64294
Freeform,Alternate Universe - High School,64085
Freeform,NSFW,62176
Freeform,Post-Traumatic Stress Disorder - PTSD,62064
Character,Bruce Banner,61527
Freeform,Polyamory,61435
Freeform,Angst and Hurt/Comfort,61239
Freeform,Christmas,60985
Freeform,Hand Jobs,60547
Fandom,Merlin (TV),60314
Freeform,Rimming,60113
Fandom,Shingeki no Kyojin | Attack on Titan,60008
Character,Keith (Voltron),59811
Character,Loki (Marvel),59116
Freeform,Soulmates,59066
Freeform,Tooth-Rotting Fluff,58870
Freeform,TBR,58503
Freeform,Porn,58275
Character,Ron Weasley,58206
Freeform,Downloaded,57104
Character,Severus Snape,56465
Freeform,Blood,56349
Freeform,1k,55957
Fandom,Miraculous Ladybug,55895
Freeform,Sexual Content,55052
Freeform,Magic,55046
Fandom,Game of Thrones (TV),54688
Freeform,Sad,54566
Relationship,Stucky,54045
Freeform,BDSM,53715
Freeform,Incomplete,53699
Freeform,Read Later,53324
Freeform,Eventual Smut,53145
Character,Lance (Voltron),52877
Freeform,Jealousy,52838
Fandom,Once Upon a Time (TV),52584
Freeform,Alternate Universe - Soulmates,52538
Freeform,Developing Relationship,52499
Freeform,Reading,52478
Character,Natasha Romanov (Marvel),52250
Freeform,Cuddling & Snuggling,51737
Character,Harry Styles,51610
Freeform,Slash,51593
Freeform,Vaginal Sex,51282
Freeform,Funny,51233
Fandom,Batman - All Media Types,50912
Freeform,Grief/Mourning,50489
Character,Sirius Black,49997
Freeform,Dom/sub,49923
Character,Natasha Romanov,49723
Freeform,Minor Character Death,49680
Freeform,Slice of Life,49657
Freeform,Dubious Consent,49039
Fandom,EXO (Band),48562
Freeform,Implied Sexual Content,48501
Freeform,Misunderstandings,48388
Relationship,Harry Styles/Louis Tomlinson,48225
Character,Louis Tomlinson,47912
Fandom,A Song of Ice and Fire - George R. R. Martin,47683
Fandom,Glee,47639
Fandom,Doctor Who (2005),47614
Freeform,Swearing,47555
Character,Remus Lupin,47531
Character,Merlin,47460
Freeform,Original Character(s),47319
Freeform,Spanking,47188
Character,Bruce Wayne,47124
Freeform,Future Fic,47118
Freeform,Work In Progress,47085
Freeform,Drarry,46962
Freeform,Kidnapping,46951
Fandom,Doctor Who,46930
Freeform,Comfort,46900
Freeform,Unrequited Love,46764
Freeform,Podfic,46696
Freeform,Implied/Referenced Child Abuse,46390
Fandom,Iron Man (Movies),46331
Freeform,Teen Wolf,46288
Character,Dick Grayson,46113
Freeform,Panic Attacks,45882
Freeform,Nightmares,45495
Fandom,Stargate SG-1,45494
Freeform,Flirting,45076
Fandom,Thor (Movies),45033
Freeform,Idiots in Love,44922
Freeform,Kid Fic,44531
Freeform,Pre-Canon,44140
Freeform,Hot,44043
Character,Pepper Potts,43854
Fandom,ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,43700
Freeform,Long,43265
Fandom,Hetalia: Axis Powers,43092
Freeform,Fix-It,43043
Freeform,Pre-Slash,42730
Character,Castiel (Supernatural),42493
Freeform,Pre-Relationship,42471
Freeform,Favourite,42333
Freeform,Death,42189
Freeform,One of My Favorites,41626
Freeform,Reader-Insert,41559
Freeform,Torture,41508
Freeform,Vaginal Fingering,41499
Freeform,Teasing,41323
Freeform,Good,41202
Freeform,Suicidal Thoughts,41172
Freeform,Explicit Language,40950
Freeform,Unfinished,40863
Fandom,The 100 (TV),40599
Freeform,Shameless Smut,40512
Freeform,Not Beta Read,40464
Character,Mycroft Holmes,40285
Freeform,Dark,40099
Freeform,Alcohol,40078
Freeform,Anxiety,39969
Freeform,Crying,39950
Freeform,Bondage,39776
Freeform,Action/Adventure,39736
Fandom,bts,39676
Freeform,yoonmin,39465
Freeform,Porn with Feelings,39440
Freeform,Alternate Universe - Fantasy,39421
Fandom,Dragon Age: Inquisition,39409
Character,Sam Wilson (Marvel),39384
Relationship,Aziraphale/Crowley (Good Omens),39319
Freeform,Wordcount: 10.000-30.000,39254
Fandom,Good Omens - Neil Gaiman & Terry Pratchett,39153
Fandom,Video Blogging RPF,39078
Freeform,Canonical Character Death,39041
Character,Jason Todd,38769
Freeform,Heavy Angst,38742
Freeform,Daddy Kink,38699
Freeform,Feels,38180
Freeform,Modern AU,38171
Freeform,Friendship/Love,37959
Freeform,Mental Health Issues,37790
Fandom,Stargate Atlantis,37689
Character,Phil Coulson,37490
Relationship,Keith/Lance (Voltron),37464
Fandom,Good Omens,37433
Freeform,Favorites,37399
Character,Crowley (Good Omens),37262
Fandom,One Piece,36981
Freeform,Cunnilingus,36921
Freeform,Praise Kink,36855
Freeform,Short One Shot,36840
Freeform,First Meetings,36831
Freeform,Slow Build,36777
Freeform,Spoilers,36559
Relationship,Magnus Bane/Alec Lightwood,36415
Freeform,Domestic,36333
Freeform,Age Difference,36317
Relationship,Will Graham/Hannibal Lecter,36159
Freeform,Rape/Non-con Elements,36134
Fandom,Star Trek,36097
Freeform,Fanart,35920
Relationship,Minor or Background Relationship(s),35799
Freeform,Porn With Plot,35615
Freeform,Ficlet,35457
Freeform,Aged-Up Character(s),35339
Fandom,Sherlock Holmes & Related Fandoms,35328
Freeform,Eventual Romance,35263
Character,Aziraphale (Good Omens),35260
Fandom,The Hobbit - All Media Types,35221
Relationship,Dean Winchester/Sam Winchester,35177
Fandom,Hannibal (TV),34990
Freeform,One-Shot,34893
Freeform,Voyeurism,34883
Freeform,Murder,34670
Relationship,Destiel,34659
Fandom,DCU,34613
Freeform,Alternate Universe - Human,34594
Freeform,Coming Out,34592
Freeform,Comedy,34426
Character,Niall Horan,34348
Fandom,Dragon Age (Video Games),34111
Freeform,Sexual Tension,34109
Freeform,Incest,34099
Character,Ginny Weasley,34038
Freeform,Family Feels,33994
Character,Scott McCall,33951
Freeform,Introspection,33693
Fandom,Star Trek: Alternate Original Series (Movies),33604
Fandom,Agents of S.H.I.E.L.D. (TV),33562
Freeform,Self-Harm,33408
Fandom,Avatar: The Last Airbender,33306
Freeform,Missing Scene,33279
Freeform,soft,33245
Relationship,Merlin/Arthur Pendragon (Merlin),33011
Fandom,Final Fantasy XV,32966
Character,Merlin (Merlin),32939
Character,Lydia Martin,32902
Character,Liam Payne,32878
Freeform,Implied/Referenced Character Death,32620
Character,Hunk (Voltron),32466
Character,Tim Drake,32370
Freeform,Sex Toys,32165
Freeform,Whump,32161
Freeform,Pregnancy,32148
Freeform,Secret Relationship,32115
Character,Zayn Malik,32030
Freeform,Family Fluff,31980
Character,Greg Lestrade,31970
Freeform,Knotting,31961
Freeform,Enemies to Lovers,31781
Freeform,Semi-Public Sex,31734
Freeform,Drinking,31650
Character,James T. Kirk,31634
Fandom,Minecraft (Video Game),31185
Freeform,2k,31072
Freeform,LATER,31031
Freeform,Suicide Attempt,31011
Freeform,Christmas Fluff,30763
Fandom,NCIS,30730
Freeform,Gay,30693
Character,Alec Lightwood,30553
Freeform,Enemies to Friends to Lovers,30503
Freeform,Vampires,30307
Relationship,Min Yoongi | Suga/Park Jimin,30287
Freeform,Sharing a Bed,30267
Fandom,The Avengers (2012),30056
Freeform,I Wrote This Instead of Sleeping,29853
Freeform,Sibling Incest,29809
Freeform,done,29539
Freeform,Threesome - M/M/M,29503
Freeform,Frottage,29410
Freeform,Poetry,29409
Character,Magnus Bane,29364
Freeform,Romantic Fluff,29355
Freeform,Fake/Pretend Relationship,29312
Freeform,ABO,29296
Character,James Potter,29249
Freeform,Abuse,29188
Freeform,How Do I Tag,29166
Fandom,RWBY,29160
Character,Arthur Pendragon (Merlin),29063
Character,Clarke Griffin,28946
Character,Hinata Shouyou,28944
Character,Albus Dumbledore,28922
Freeform,Flashbacks,28853
Character,Uzumaki Naruto,28795
Freeform,Wordcount: 5.000-10.000,28788
Freeform,Angst and Feels,28729
Freeform,Light Dom/sub,28701
Freeform,Marriage Proposal,28676
Freeform,POV First Person,28638
Character,Emma Swan,28606
Freeform,Songfic,28565
Character,Allura (Voltron),28437
Freeform,Best,28428
Freeform,Blood and Gore,28412
Character,Oikawa Tooru,28408
Freeform,Reread,28324
Freeform,Sickfic,28301
Freeform,Biting,28297
Freeform,All Time Favorites,28137
Relationship,Sirius Black/Remus Lupin,28134
Freeform,Mating Cycles/In Heat,28133
Character,Larry,28098
Character,Eren Yeager,27975
Freeform,Hurt,27965
Freeform,Fantasy,27934
Character,Gabriel (Supernatural),27821
Freeform,Implied/Referenced Rape/Non-con,27797
Fandom,Buffy the Vampire Slayer,27782
Character,Levi (Shingeki no Kyojin),27711
Freeform,Adorable,27458
Freeform,Horror,27457
Fandom,Avengers,27345
Freeform,1,27310
Freeform,Multiple Orgasms,27276
Character,Kuroo Tetsurou,27267
Freeform,Blood and Injury,27201
Fandom,Transformers - All Media Types,27188
Character,Sansa Stark,27186
Freeform,ongoing,27181
Freeform,Implied/Referenced Suicide,26968
Character,Obi-Wan Kenobi,26888
Freeform,2,26860
Freeform,Tumblr Prompt,26721
Freeform,Art,26699
Relationship,Johnlock,26547
Fandom,Dragon Age - All Media Types,26457
Freeform,Found Family,26319
Relationship,Peter Parker & Tony Stark,26148
Freeform,Short & Sweet,26089
Freeform,Personal Favorite,25907
Freeform,Injury,25834
Freeform,Suicide,25817
Freeform,Mystery,25775
Fandom,Kuroko no Basuke | Kuroko's Basketball,25742
Character,Wanda Maximoff,25719
Freeform,Worth Re-Reading,25708
Freeform,Making Out,25619
Freeform,Child Abuse,25607
Character,Kurt Hummel,25559
Character,Kageyama Tobio,25559
Freeform,Hurt No Comfort,25489
Freeform,Boys In Love,25487
Freeform,Kinda,25444
Fandom,DCU (Comics),25442
Character,Isaac Lahey,25438
Freeform,Threesome,25369
Fandom,Batman (Comics),25357
Freeform,faves,25345
Fandom,Criminal Minds,25315
Character,Uchiha Sasuke,25300
Freeform,Homophobia,25135
Freeform,Trans Male Character,25035
Freeform,Light Bondage,24952
Character,Hatake Kakashi,24899
Character,Nick Fury,24898
Freeform,10k,24822
Freeform,Boys Kissing,24810
Character,Sheriff Stilinski,24738
Fandom,Arrow (TV 2012),24705
Character,You,24640
Freeform,Banter,24580
Freeform,Reincarnation,24537
Relationship,Stony,24526
Fandom,MCU,24464
Character,Damian Wayne,24426
Fandom,Supernatural RPF,24402
Character,Leia Organa,24394
Freeform,Implied/Referenced Self-Harm,24373
Freeform,Possessive Behavior,24366
Freeform,Drug Use,24360
Freeform,Trauma,24301
Freeform,Amazing,24218
Relationship,Erik Lehnsherr/Charles Xavier,24171
Freeform,Marriage,24042
Relationship,James T. Kirk/Spock,24024
Freeform,Prompt Fic,23962
Fandom,Bleach,23847
Character,Hannibal Lecter,23832
Freeform,Loss of Virginity,23789
Freeform,Attempt at Humor,23745
Fandom,Saved,23620
Fandom,Spider-Man - All Media Types,23611
Freeform,Past Relationship(s),23589
Freeform,Childhood Friends,23550
Freeform,Orgasm Delay/Denial,23523
Freeform,Not Canon Compliant,23500
Freeform,for later,23441
Freeform,Bullying,23424
Fandom,Gravity Falls,23418
Character,Will Graham,23335
Freeform,Confessions,23329
Freeform,Friends With Benefits,23258
Character,Jon Snow,23255
Freeform,Sort Of,23233
Freeform,Best Friends,22989
Freeform,High School,22922
Fandom,Les Misérables - All Media Types,22909
Character,Original Child Character(s),22901
Character,Peter Hale,22852
Freeform,Feelings,22738
Freeform,Unresolved Sexual Tension,22721
Freeform,Dom/sub Undertones,22712
Character,"James ""Rhodey"" Rhodes",22687
Fandom,Free!,22684
Freeform,Alpha/Omega,22679
Freeform,Exhibitionism,22673
Character,Barry Allen,22600
Fandom,Percy Jackson and the Olympians - Rick Riordan,22572
Freeform,Internalized Homophobia,22561
Freeform,Team as Family,22552
Freeform,No Smut,22523
Freeform,Public Sex,22435
Freeform,Cheating,22356
Character,Blaine Anderson,22320
Fandom,Hawaii Five-0 (2010),22287
Character,Allison Argent,22272
Character,Evil Queen | Regina Mills,22239
Freeform,Rape,22231
Fandom,Hockey RPF,22226
Freeform,Halloween,22205
Freeform,Soulmate-Identifying Marks,22170
Character,Clark Kent,22162
Fandom,Star Wars,22019
Freeform,POV Second Person,22012
Relationship,Harry Potter/Severus Snape,22011
Freeform,Past Abuse,22007
Character,Bobby Singer,21959
Fandom,Dangan Ronpa - All Media Types,21958
Freeform,Drabble Collection,21952
Freeform,Gay Sex,21933
Character,Iwaizumi Hajime,21807
Freeform,Canon,21798
Character,Dave Strider,21738
Freeform,Arranged Marriage,21675
Character,Haruno Sakura,21578
Character,Oliver Queen,21534
Freeform,Humiliation,21526
Character,Bokuto Koutarou,21421
Fandom,The X-Files,21378
Freeform,Fluffy,21364
Freeform,Adventure,21337
Fandom,Star Wars: The Clone Wars (2008) - All Media Types,21336
Freeform,DL,21328
Character,Tsukishima Kei,21292
Freeform,Aftercare,21272
Freeform,Mild Hurt/Comfort,21223
Character,Charles Xavier,21175
Freeform,Threesome - F/M/M,21149
Character,Bellamy Blake,21148
Freeform,Alternate Universe - Coffee Shops & Cafés,21108
Freeform,Crossdressing,21094
Freeform,Ambiguous/Open Ending,21074
Relationship,Levi/Eren Yeager,21010
Freeform,Choking,20976
Freeform,Already Read,20963
Freeform,Episode Related,20951
Fandom,GOT7,20844
Freeform,Voltron,20716
Fandom,HP,20687
Freeform,Strangers to Lovers,20652
Freeform,I'm Bad At Tagging,20611
Fandom,The Walking Dead (TV),20572
Freeform,Amnesia,20564
Character,OC - Character,20545
Character,Luna Lovegood,20521
Character,Molly Hooper,20510
Character,Jack Harkness,20456
Fandom,Captain America - All Media Types,20454
Freeform,Past Child Abuse,20450
Freeform,Alternate Universe - No Powers,20411
Character,Lily Evans Potter,20385
Relationship,Blaine Anderson/Kurt Hummel,20342
Freeform,Dancing,20341
Character,John Sheppard,20310
Character,Darcy Lewis,20236
Character,Lucius Malfoy,20196
Freeform,Mild Language,20196
Freeform,Crack Treated Seriously,20184
Freeform,Alcohol Abuse/Alcoholism,20129
Freeform,Minor Violence,20066
Freeform,Yaoi,20041
Character,John Winchester,20014
Character,Byun Baekhyun,20012
Character,Luke Skywalker,19943
Freeform,Drama & Romance,19934
Freeform,Overstimulation,19921
Character,Minerva McGonagall,19907
Freeform,Alternate Universe - Everyone Lives/Nobody Dies,19880
Freeform,War,19868
Relationship,Loki/Tony Stark,19852
Fandom,Torchwood,19829
Character,Original Character,19791
Freeform,Perfect,19736
Freeform,Fluff and Crack,19687
Character,Kim Namjoon | Rap Monster,19673
Freeform,Recovery,19659
Character,Neville Longbottom,19616
Freeform,I Don't Even Know,19567
Character,Noctis Lucis Caelum,19543
Fandom,Steven Universe (Cartoon),19483
Freeform,Creampie,19408
Freeform,Destiel - Freeform,19394
Relationship,Pepper Potts/Tony Stark,19390
Freeform,Trans Character,19363
Character,Park Chanyeol,19353
Relationship,Sherlock Holmes & John Watson,19317
Fandom,Phandom/The Fantastic Foursome (YouTube RPF),19316
Freeform,kind of,19303
Freeform,Malec,19255
Relationship,Bilbo Baggins/Thorin Oakenshield,19226
Fandom,Wiedźmin | The Witcher - All Media Types,19199
Fandom,Star Wars Prequel Trilogy,19166
Freeform,Healing,19137
Freeform,Memory Loss,19135
Freeform,5k,19078
Freeform,Blood and Violence,19059
Freeform,Supernatural Elements,19020
Freeform,Break Up,18991
Freeform,Underage Drinking,18988
Character,Zuko (Avatar),18955
Freeform,Out of Character,18935
Freeform,Femslash,18932
Character,Other Character Tags to Be Added,18919
Freeform,Werewolves,18875
Freeform,Mildly Dubious Consent,18813
Freeform,Ghosts,18810
Relationship,Dan Howell/Phil Lester,18779
Freeform,Emotional/Psychological Abuse,18761
Character,Akaashi Keiji,18747
Freeform,Chaptered,18680
Fandom,My Chemical Romance,18656
Relationship,Merthur,18650
Fandom,Kingdom Hearts,18637
Freeform,True Love,18603
Character,Erik Lehnsherr,18579
Freeform,Guilt,18578
Freeform,3k,18577
Freeform,Emotional Manipulation,18561
Freeform,Light BDSM,18495
Freeform,Self-Esteem Issues,18480
Freeform,I'm Sorry,18443
Freeform,Texting,18434
Character,Thorin Oakenshield,18416
Relationship,Jensen Ackles/Jared Padalecki,18392
Character,Loki,18363
Character,Sugawara Koushi,18345
Fandom,Fairy Tail,18340
Freeform,private,18304
Freeform,3,18297
Freeform,Major Character Injury,18266
Freeform,Barebacking,18229
Freeform,Cuddling,18209
Character,Anakin Skywalker,18202
Freeform,Reunions,18188
Freeform,5+1 Things,18188
Fandom,Katekyou Hitman Reborn!,18145
Freeform,Wordcount: 100-1.000,18141
Freeform,Self-Hatred,18129
Relationship,"Steve McGarrett/Danny ""Danno"" Williams",18129
Freeform,Family Drama,18085
Relationship,Iwaizumi Hajime/Oikawa Tooru,18027
Character,Karkat Vantas,17980
Freeform,Demons,17928
Freeform,Father-Son Relationship,17893
Fandom,The Lord of the Rings - J. R. R. Tolkien,17891
Freeform,Tragedy,17868
Freeform,Crushes,17851
Character,Coran (Voltron),17844
Character,Rose Tyler,17837
Fandom,Pocket Monsters | Pokemon - All Media Types,17829
Relationship,Daniel Jackson/Jack O'Neill,17813
Character,Yes,17751
Freeform,Humour,17705
Freeform,Unhealthy Relationships,17701
Freeform,Recreational Drug Use,17695
Freeform,College AU,17678
Character,Rodney McKay,17675
Freeform,Pain,17673
Character,Percy Jackson,17669
Character,Lena Luthor,17656
Freeform,Angst and Fluff and Smut,17615
Relationship,Hermione Granger/Draco Malfoy,17571
Freeform,Canon Universe,17558
Fandom,The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,17548
Character,Kim Jongin | Kai,17517
Freeform,Action,17483
Character,Geralt z Rivii | Geralt of Rivia,17467
Relationship,"James ""Bucky"" Barnes/Tony Stark",17438
Relationship,Rodney McKay/John Sheppard,17432
Freeform,Valentine's Day,17432
Freeform,favs,17354
Freeform,Abandoned Work - Unfinished and Discontinued,17318
Freeform,Hugs,17301
Freeform,Platonic Relationships,17278
Freeform,Meet-Cute,17277
Character,Tenth Doctor,17261
Freeform,Prompt Fill,17251
Freeform,marked for later,17235
Character,Erica Reyes,17233
Fandom,The Avengers,17221
Character,Armin Arlert,17206
Character,Spencer Reid,17198
Freeform,Canon Divergence,17166
Character,Jensen Ackles,17157
Relationship,Hinata Shouyou/Kageyama Tobio,17150
Character,Erwin Smith,17142
Freeform,First Dates,17100
Fandom,The Hobbit (Jackson Movies),17071
Character,Bilbo Baggins,17060
Freeform,College,17051
Relationship,Eddie Kaspbrak/Richie Tozier,17041
Fandom,Shameless (US),17013
Character,Jean Kirstein,17005
Freeform,Gore,16992
Fandom,Dragon Age II,16965
Freeform,Eventual Happy Ending,16950
Character,Sawamura Daichi,16919
Character,Kozume Kenma,16832
Freeform,Weddings,16780
Freeform,Memories,16729
Character,George Weasley,16697
Character,Peggy Carter,16662
Character,Prompto Argentum,16601
Freeform,POV Outsider,16558
Character,Dan Howell,16489
Freeform,Alternate Universe - Vampire,16484
Freeform,POV Alternating,16476
Freeform,Implied Relationships,16445
Character,Phil Lester,16437
Freeform,Emotional Hurt,16434
Fandom,Bandom,16425
Freeform,Shower Sex,16419
Freeform,dc,16403
Character,Mikasa Ackerman,16390
Freeform,Miscommunication,16372
Character,Alfred Pennyworth,16304
Freeform,Tony Stark Has A Heart,16301
Freeform,Soulmate AU,16294
Freeform,Sad Ending,16285
Fandom,Mass Effect,16245
Character,Pansy Parkinson,16205
Freeform,Sleepy Cuddles,16102
Freeform,Begging,16101
Freeform,Secrets,16051
Freeform,Manipulation,16001
Freeform,Insecurity,16001
Freeform,Smoking,16000
Freeform,Size Kink,15969
Relationship,Clint Barton/Phil Coulson,15967
Character,Richie Tozier,15964
Character,Felicity Smoak,15938
Freeform,Double Penetration,15898
Character,Arya Stark,15897
Fandom,Fire Emblem Series,15888
Character,Alexander Hamilton,15863
Character,Steve McGarrett,15857
Freeform,Implied/Referenced Torture,15829
Freeform,Post-War,15817
Character,Jemma Simmons,15817
Freeform,Riding,15809
Freeform,Dorks in Love,15787
Freeform,Face-Fucking,15765
Freeform,Nipple Play,15759
Relationship,Peter Hale/Stiles Stilinski,15757
Fandom,逆転裁判 | Gyakuten Saiban | Ace Attorney,15746
Freeform,Alternate Universe - Canon,15743
Freeform,Bonding,15718
Freeform,Married Couple,15705
Character,Jack O'Neill,15694
Freeform,Body Horror,15628
Character,Batman,15573
Freeform,Fluff and Hurt/Comfort,15558
Freeform,PTSD,15554
Character,Do Kyungsoo | D.O,15553
Freeform,Alternate Universe - Historical,15512
Freeform,Episode Tag,15504
Fandom,Inception (2010),15498
Freeform,Size Difference,15492
Freeform,Canon Era,15478
Freeform,Betrayal,15455
Freeform,Audio Format: MP3,15395
Character,Oh Sehun,15384
Character,Original Female Character,15369
Freeform,have read,15342
Character,Jackson Whittemore,15330
Fandom,IT - Stephen King,15319
Freeform,Temporary Character Death,15314
Character,Buffy Summers,15237
Freeform,Hopeful Ending,15213
Fandom,Star Trek: The Original Series,15212
Fandom,Percy Jackson and the Olympians & Related Fandoms - All Media Types,15207
Freeform,Fanfiction,15192
Freeform,Identity Reveal,15166
Character,Jaskier | Dandelion,15141
Character,Jared Padalecki,15116
Relationship,Hermione Granger/Ron Weasley,15006
Fandom,Smallville,14993
Freeform,Backstory,14966
Character,Scott McCall (Teen Wolf),14953
Freeform,5,14951
Freeform,Alternate Universe - Royalty,14936
Character,Daryl Dixon,14901
Character,"Danny ""Danno"" Williams",14868
Freeform,Rare Pairings,14856
Character,Nico di Angelo,14853
Relationship,Ian Gallagher/Mickey Milkovich,14851
Freeform,References to Depression,14838
Freeform,Omega Verse,14833
Character,Eddie Kaspbrak,14824
Fandom,X-Men: First Class (2011) - Fandom,14822
Relationship,Evil Queen | Regina Mills/Emma Swan,14812
Freeform,Infidelity,14796
Freeform,Awesome,14783
Character,Spock,14776
Character,Blaise Zabini,14749
Freeform,Adoption,14721
Freeform,Mates,14686
Freeform,One Shot Collection,14648
Freeform,One-Sided Attraction,14643
Freeform,Angst and Humor,14560
Relationship,Oliver Queen/Felicity Smoak,14545
Relationship,Gabriel/Sam Winchester,14523
Character,Narcissa Black Malfoy,14503
Freeform,Mild Sexual Content,14486
Freeform,Heartbreak,14483
Character,Thor,14418
Freeform,Favourites,14415
Character,Gerard Way,14408
Freeform,Beautiful,14402
Character,Stephen Strange,14383
Freeform,OT3,14379
Freeform,Case Fic,14377
Character,Yamaguchi Tadashi,14372
Freeform,Blood Drinking,14363
Freeform,Underage Sex,14326
Relationship,Loki/Thor,14312
Character,Han Solo,14290
Character,John Egbert,14283
Character,Peter Pettigrew,14257
Character,Tom Riddle | Voldemort,14250
Freeform,Drugs,14207
Character,Fred Weasley,14192
Character,Gladiolus Amicitia,14184
Character,Vernon Boyd,14148
Freeform,Body Worship,14133
Fandom,The 100,14133
Freeform,Fingering,14105
Freeform,Holidays,14097
Character,Captain Hook | Killian Jones,14058
Relationship,Merlin/Arthur Pendragon,14011
Character,Matt Murdock,13993
Freeform,Implied/Referenced Drug Use,13968
Fandom,The Lord of the Rings - All Media Types,13913
Freeform,Roommates,13879
Freeform,Bellarke,13863
Freeform,Bittersweet,13850
Freeform,Mutual Masturbation,13843
Character,Daniel Jackson,13827
Freeform,Hospitals,13824
Fandom,K-pop,13809
Fandom,due South,13791
Character,Jaime Lannister,13760
Character,Varric Tethras,13743
Freeform,Unplanned Pregnancy,13741
Character,Octavia Blake,13738
Freeform,Revenge,13712
Character,Dorian Pavus,13685
Freeform,x-files,13659
